dimensions,4,5,6,7
rp,0.013143610954284669,0.015472102165222167,0.016154694557189941,0.015050435066223144
kernel_pca,0.013477492332458495,0.014384722709655762,0.013599348068237305,0.01479649543762207
srp,0.012119722366333009,0.013367462158203124,0.01453101634979248,0.012285423278808594
spectralEmbedding,0.011936402320861817,0.014327621459960938,0.013007330894470214,0.015047216415405273
mds,0.011085104942321778,0.010923528671264648,0.011272811889648437,0.013625454902648926
matrix_factorisaton,0.013233923912048339,0.013350224494934082,0.011906909942626952,0.013933563232421875
hash,0.022988438606262207,0.016640543937683105,0.025629758834838867,0.01645030975341797
incremental_pca,0.012070941925048827,0.014523577690124512,0.013309955596923828,0.014188480377197266
pca,0.013522601127624512,0.014255118370056153,0.014091300964355468,0.014550042152404786
isomap,0.01332871913909912,0.014723443984985351,0.017860746383666991,0.017931509017944335
truncated_svd,0.013922119140625,0.017330694198608398,0.01604893207550049,0.018938994407653807
