dimensions,4,5,6,7
rp,0.57888291517323776,0.56312724014336912,0.55116487455197138,0.43208258661887694
kernel_pca,0.64624775985663085,0.63812350657108718,0.62664277180406214,0.62579525089605725
srp,0.5746845131421745,0.51215277777777779,0.66434998506571086,0.50074111409796895
spectralEmbedding,0.65568249701314218,0.62753509557945042,0.60289351851851858,0.59543384109916364
mds,0.42112455197132609,0.41918682795698925,0.42977150537634407,0.567372311827957
matrix_factorisaton,0.65147849462365592,0.65548461768219835,0.66031212664277172,0.676284348864994
hash,0.65898297491039426,0.63846326164874545,0.72990031362007179,0.54287261051373958
incremental_pca,0.65838186977299873,0.63836618876941464,0.62256571087216261,0.6152143070489845
pca,0.64624775985663085,0.63812350657108718,0.62664277180406214,0.62579525089605725
isomap,0.60266577060931892,0.57215128434886509,0.64069967144563922,0.65635080645161292
truncated_svd,0.65237081839904409,0.67941681600955794,0.67622834528076459,0.68127240143369183
