x,y_orig,y_reduced,y_error
5,333.33333333333331,224.44126628133009,122.83021394783341
6,333.33333333333331,247.9016863609117,92.994913498175933
7,333.33333333333331,281.94851436197962,74.195497309785608
8,333.33333333333331,323.67864711725269,81.610145211487051
9,333.33333333333331,349.68058646451357,71.978458565625118
10,333.33333333333331,292.15878239686492,107.56742064168118
11,333.33333333333331,312.29557726394643,49.96885790601992
12,333.33333333333331,369.42310595849159,42.931999551756327
13,333.33333333333331,334.12359525453104,60.859864733927949
14,333.33333333333331,315.46265571991523,37.326530647916307
15,333.33333333333331,314.67556062419493,58.62225355125527
