x,y_orig,y_reduced,y_error
5,521.7758139277827,409.72128257909185,112.05453134869083
6,521.7758139277827,154.48278234208445,367.29303158569815
7,521.7758139277827,323.9695136278418,197.80630029994074
8,521.7758139277827,405.30158295672345,116.47423097105903
9,521.7758139277827,398.8800904335227,122.89572349425988
10,521.7758139277827,463.91242057425217,57.8633933535305
11,521.7758139277827,591.5154394954172,69.73962556763438
12,521.7758139277827,422.52926614413275,177.54853122348314
13,521.7758139277827,543.3674960506175,90.32665202462061
14,521.7758139277827,637.4847037314505,115.70888980366779
15,521.7758139277827,603.0635340911676,81.28772016338498
