x,y_orig,y_reduced,y_error
5,333.3333333333333,51.212945263403086,282.12038806993274
6,333.3333333333333,68.3355848552524,264.9977484780836
7,333.3333333333333,65.69935537488897,267.63397795844344
8,333.3333333333333,98.34059966072506,234.9927336726073
9,333.3333333333333,112.5430912632789,220.79024207005506
10,333.3333333333333,100.19442893128578,233.13890440204287
11,333.3333333333333,103.44994454584946,229.88338878748309
12,333.3333333333333,115.43911930865575,217.8942140246777
13,333.3333333333333,138.52482365931013,194.80850967402301
14,333.3333333333333,113.50516134036643,219.8281719929675
15,333.3333333333333,132.4522933085724,200.88104002476106
