x,y_orig,y_reduced,y_error
5,521.77581392778279,517.79702760747523,517.79702760747523
6,521.77581392778279,493.11311386384403,493.11311386384403
7,521.77581392778279,492.52051547538753,492.52051547538753
8,521.77581392778279,482.02308681061322,482.02308681061322
9,521.77581392778279,511.89536575269301,511.89536575269301
10,521.77581392778279,480.32573520562335,480.32573520562335
11,521.77581392778279,487.57649370409939,487.57649370409939
12,521.77581392778279,496.19148078393766,496.19148078393766
13,521.77581392778279,505.69220172792717,505.69220172792717
14,521.77581392778279,506.24570123642758,506.24570123642758
15,521.77581392778279,512.58079814958558,512.58079814958558
