dimensions,4,5,6,7,8,9,10,11,12,13,14
rp,0.5953964684465336,0.66059888744230089,0.57879997069250244,0.62886393994217404,0.68078837168670281,0.77094556132312064,0.70621488031832458,0.65348167435988491,0.65132531885993838,0.74617508975421154,0.71428064183419837
kernel_pca,0.89924702275276314,0.91575728883102536,0.92129358785767834,0.91936549267594359,0.94600375361412181,0.9454897451938522,0.94429997351053119,0.94858675864712083,0.95222990604692581,0.95223328768126969,0.95628504923096003
spectralEmbedding,0.94641405858117889,0.94911091197042197,0.95359157747606071,0.95439697005562785,0.95526266844766072,0.95471089844388468,0.95252129020622345,0.95356508800703388,0.95368682684341355,0.95269488076920916,0.95154174345794651
hash,0.64412187410175337,0.58068607724780053,0.56714742234922133,0.70291130536721724,0.7263945014625568,0.65233501851444808,0.64622637787509374,0.74699513608260215,0.71286373704411332,0.74482412683383215,0.74655157837782993
incremental_pca,0.90949619284333449,0.91689182715339657,0.93402938640244837,0.93584081519931905,0.93533131562484151,0.94270891455173622,0.9491633273027521,0.94888546968082998,0.95023981423555337,0.95138618827812815,0.95158288667579727
pca,0.89924702275276314,0.91575728883102536,0.92129358785767834,0.91936549267594359,0.94600375361412181,0.9454897451938522,0.94429997351053119,0.94858675864712083,0.95222990604692581,0.95223328768126969,0.95628504923096003
isomap,0.94917403581150772,0.95045454801638962,0.95152708970912325,0.95021952442949009,0.94825084963562889,0.94655270558927784,0.93902631475125264,0.93284581438209069,0.93380168968996047,0.93069396772793622,0.93212101742105291
lle,0.94796510153357127,0.94317783451408721,0.93555112185719358,0.95055261541236213,0.95182636434855628,0.95088007033799438,0.95107789594711134,0.94946260194218535,0.95017499957729568,0.94591132227538888,0.94631035512796668
truncated_svd,0.90323115161557588,0.89833116345129616,0.91464360392044153,0.92057611777105208,0.91849021298660316,0.94672066009502398,0.94660117568154023,0.94398040906503444,0.94961421188193584,0.95052612594333519,0.95278562129076982
