dimensions,5,10,15,20,25,30,35,40,45,50,55,60
rp,0.81413643994345986,0.93123322924939245,0.97312295884348965,0.97584331526993873,0.97402079564227684,0.98714566425443906,0.97616262310642243,0.97950339555719779,0.98266920541590397,0.98659395699114238,0.98506121832712579,0.9847078359175595
kernel_pca,0.98921158538139109,0.98916099664001045,0.99073231333902412,0.99026796129252359,0.9888600875246496,0.98907627139188659,0.98910213754298193,0.98926537918972368,0.98996705217716296,0.98929395715040036,0.98920988220571593,0.98869294626918702
spectralEmbedding,0.9907962841749941,0.98982324442844793,0.9884366205420152,0.98795339421235251,0.98819271251385554,0.98754212152516774,0.9859693272659581,0.98229830462796641,0.98046095631234953,0.97809705907126399,0.97420716287561893,0.97311963212113228
matrix_factorisaton,0.9904883367414542,0.98772721248271178,0.99030153818440236,0.99157600242284483,0.99051962651171221,0.99108766656615721,0.99103470222649748,0.98961640590825883,0.98907745919102596,0.9897597889690134,0.98978332376015887,0.98948629213435435
hash,0.89306660186636211,0.96933392825038478,0.95164082396188565,0.97905690915995303,0.98704661021148044,0.9759373372029484,0.98122997552027813,0.98333421146416844,0.98244694983798153,0.98645465491625861,0.98618958769523257,0.9851099203037651
incremental_pca,0.99037371080660996,0.99165301693018559,0.99024092946145315,0.98929568244524002,0.98939885507664904,0.98931749194154595,0.98937263059508707,0.99007598463903645,0.98967017759742693,0.98893959043800905,0.98880306653020023,0.98855814765621786
pca,0.98921158538139109,0.98916099664001045,0.99073231333902412,0.99026796129252359,0.9888600875246496,0.98907627139188659,0.98910213754298193,0.98926537918972368,0.98996705217716296,0.98929395715040036,0.98920988220571593,0.98869294626918702
isomap,0.97940295464261806,0.97475210167454474,0.97429043710654428,0.97575143226014693,0.97138043981039079,0.96729798522722932,0.96780060121658928,0.9668749031180589,0.96281208371732196,0.96108636640166123,0.96076315453262373,0.96022559689892839
lle,0.82767172301921998,0.80831007281982892,0.85293446109221238,0.94179511707939267,0.97342545169103667,0.97037841511053935,0.97791019415671832,0.97670252315965012,0.97195457148276976,0.97119758067655637,0.97971448316890841,0.97277201617777997
truncated_svd,0.98997173701622732,0.99059881533293404,0.99046182028691909,0.98994519844252782,0.98907828865969893,0.99007732948424476,0.9892917828365192,0.98923949091946362,0.98950843784196219,0.98891538322425931,0.9888050837980128,0.98828561521713576
